year,month,fk_item,total_sell,total_cost,monthly_margin
2024,1,002c08ac3f98833d059ae535ac340b7e,24.96,8.91,0.643
2024,1,006e12281d6aa342fca882f3a2b8f914,410.146932,113.33,0.7237
2024,1,012824506f88e6bd25007f2f0326d361,25.306226,13.085,0.4829
2024,1,0136bd34b95d4b63383bd148b7e4cee3,3.593692,2.7,0.2487
2024,1,013c212297f250f633fca5179df10af8,25.418692,7.36,0.7104
2024,1,014b3bdaabdf02112f1cb08d6ad58b52,42.67973148,19.88,0.5342
2024,1,015246197f267422606480ed341a3f70,33.29,13.85,0.584
2024,1,0159a4ee070a016505dc0bed19b2569e,24.546444,12.22,0.5022
2024,1,0189ecb9a801c14bdeb2ae23b5f10064,32.979936,24.75,0.2495
2024,1,01937200685e9c7196f60f06d54411c9,16.62,10.87,0.346
2024,1,01a45582454a3115578599da18c73634,125.483167,78.72,0.3727
2024,1,01d851b39d112488ee2906522ac2e2d9,88.313176,53.8,0.3908
2024,1,020e1156490103fa03e8b056be6f1666,8.987394,7.0098,0.22
2024,1,021818a439a676d735771e00e79c66ce,14.88,6.93,0.5343
2024,1,0226f838783131e1ea98835eee385c04,29.183276,15.84,0.4572
2024,1,02322887d42897ddfda1b76a62f29046,18.29,8.3,0.5462
2024,1,023841711c01f924b4c212bf94152665,1.61733,0.81,0.4992
2024,1,0252ef74c578191edb064d21c2cb56c5,35.197764,11.09,0.6849
2024,1,025e5c44c5010a899c376dce6ab0bfe6,24.12,14.64,0.393
2024,1,0269496eeeb8e10d6eb9afd2ec57e31e,58.29,50.96,0.1258
2024,1,027ec98595517a883f2d347f674d0384,175.531893,125.31,0.2861
2024,1,0291a32507839b7266233283e6f660a0,67.309756,31.5,0.532
2024,1,02a6b0051d5111964a57491daeb4a3aa,27.436592,29.15,-0.0624
2024,1,02fb110d9eb75e5588e1fe83b3a1c54f,40.890244,30.4,0.2565
2024,1,03182807f0659a0173e3c47075e19857,19.12,12.37,0.353
2024,1,03221f6fac40d52d6f284961617fc2e3,16.684244,7.38,0.5577
2024,1,0334e20b49edcbbc5888bb5b3a26a00f,11.58,8.88,0.2332
2024,1,033835657adffe5ee44f861fc31a381a,413.46204,254.511,0.3844
2024,1,03594432c6ba82119673071d18382e13,13.68,11.379,0.1682
2024,1,0372fd0b3db8cb7774aecf60b83092dc,441.94623,48.46,0.8903
2024,1,037b5de395807dbcd762063d0e5b371f,3.79,3.6,0.0501
2024,1,03acc825d9a26d5d029e5cf76d2d89cf,22.284834,14.32,0.3574
2024,1,03f9614532dc59fbd5c624c13f099d26,20.535068,15.48,0.2462
2024,1,0447734493a55946a3bcfd691ccd6df0,193.038769,108.39,0.4385
2024,1,045382d80be08c6b42ba88e9b0ed228c,83.935492,35.0275,0.5827
2024,1,04a87f59feb0a2be817da20a4a87c488,10.755862,8.56,0.2042
2024,1,04d621f10cb3e67e2b34b00741284f1e,23.526076,13.25,0.4368
2024,1,04d8504d0e14e7a1d0a17789f18e4f7e,69.585828,49.43,0.2897
2024,1,04f7b86214c7454d8406963c8d964373,7.46,3.57,0.5214
2024,1,052e951649ef97b7efff7ae5fcfa14c6,20.299434,6.86,0.6621
2024,1,0538bee896177283cdf0dad19bfc88e6,16.74344,7.85,0.5312
2024,1,053c262a803bbea114d37c3b066d1505,18.421032,5.95,0.677
2024,1,05568cbcd984ada65373c6d6225e8e5d,20.180154,16.26,0.1943
2024,1,055a42c53af4940bb11609cb62cb7877,30.847377,12.5,0.5948
2024,1,055d9c0564e25b3e347a8b60e12ed0bf,16.272672,6.2,0.619
2024,1,0576c3c55901726cb7581b9773269e94,2.46,1.82,0.2602
2024,1,057bae0fb706f9995d830b372bcb20b4,1.308538,0.35,0.7325
2024,1,059b058689ed93ad1eb2f0b9f74ed4d9,10.45062,6.1,0.4163
2024,1,05e518308f9af3519d315beb9ad69bdf,16.053926,5.6683,0.6469
2024,1,05e952b067180e09edd3bf6ae0778bed,21.254878,8.34,0.6076
2024,1,060781c9cbeb988f7b9ffe65ef14b6a6,11.9949,7.232,0.3971
2024,1,0662380e72214020d244e7947a75acd7,46.44460306,36.49,0.2143
2024,1,06b34cf4ee815727d844ec68a7875e70,9.15,7.548,0.1751
2024,1,06c4358323bcb6ccecd5111ce59b49bc,18.222838,6.87,0.623
2024,1,06f8098fdb6bcb3c5829de54117291ce,10.215738,2.65,0.7406
2024,1,06fd6323815ec65dfaf22fab8106f721,229.426654,151.52,0.3396
2024,1,0709b3d648e63996779226c76beede27,54.650553,23.92,0.5623
2024,1,070a1e9aac2202839811c36c44606bd7,90.685475,60.33,0.3347
2024,1,071e3acf3218573e73b5f8fc1ab8fd37,26.58,17.98,0.3236
2024,1,073fa686f919bde78de1ffe91445c8ca,3.502388,2.38,0.3205
2024,1,07957ef0b768d4a1a8db9bcbb495fcbc,9.80629,9.09,0.073
2024,1,07a8fb7e31081105da8f109cf10dacdc,459.964644,389.2582,0.1537
2024,1,07af936c9765253723be3d4fd33cbd82,49.12,34.45,0.2987
2024,1,07bb850ad5c92dfa54533de0eafd8f35,52.46,22.66,0.5681
2024,1,07bf636b6fa220d8e0aa2d3a8a07c75c,16.58,5.26,0.6828
2024,1,07c543d1394b7cf1532d338db06f6c59,8.966932,7.1,0.2082
2024,1,07d0017f2bfbbde7669fc99728f95ee8,6.52,4.24,0.3497
2024,1,0815b0487d530ebbe406d9dcee1c4177,102.45151,46.0093,0.5509
2024,1,0824bf16ebcbebd9dd58b3ef8d957e72,16.357484,6.74,0.588
2024,1,085f901bf162fbb31951fdb518b86e10,4.12,3.56,0.1359
2024,1,087b2e1737ee56f59a7c46122c6db1c5,1.595174,1.0137,0.3645
2024,1,08f0923101ecbc5770850c6be9d4a0f4,53.072844,27.9526,0.4733
2024,1,08ff27824e17c60c1e6eeb00aa41b49e,125.554816,107.0893,0.1471
2024,1,090e3afb6d0245d76d7c79bce371473d,31.465186,24.9,0.2086
2024,1,093ab2933bfa6b5cbbe8fcc952b11511,89.37909,29.07,0.6748
2024,1,094593045cc96b30f8ed369e061ef353,10.79,7.06,0.3457
2024,1,096792db0fb5f55d9009f0e8635d39ae,9.396842,6.1608,0.3444
2024,1,09a5361b1ecaa62a3b28c3aa8f5d8a26,17.942118,9.0042,0.4982
2024,1,09b1ab4ab17799eec663abd8b5ab9a70,14.96,6.49,0.5662
2024,1,09ccf0fec0056e7e5f5f31f50fa0ea53,3.29,2.14,0.3495
2024,1,09e205f9ee2c1d450804d1c509ae08b6,27.598686,13.76,0.5014
