country_code,postal_code,place_name,latitude,longitude
CZ,142 00,Modřany,50.0112,14.4096
CZ,142 00,Praha 4-Kamýk,50.0086,14.4062
CZ,142 00,Písnice,49.9933,14.4669
CZ,142 00,Lhotka,49.9013,14.189
CZ,143 00,Praha 4-Kamýk,49.9905,14.4245
CZ,143 00,Praha 4-Točná,49.9905,14.4245
CZ,143 00,Praha 4-Komořany,49.9905,14.4245
CZ,143 00,Komořany,49.9908,14.4089
CZ,143 00,Cholupice,49.9873,14.4479
CZ,143 00,Kamýk,49.9905,14.4245
CZ,143 00,Modřany,50.0112,14.4096
CZ,143 00,Točná,49.9727,14.4317
CZ,143 00,Praha 4-Cholupice,49.9905,14.4245
CZ,143 00,Praha 4-Modřany,49.9905,14.4245
CZ,147 00,Podolí,50.055,14.4203
CZ,147 00,Praha 4-Podolí,50.055,14.4203
CZ,147 00,Hodkovičky,50.0235,14.4141
CZ,147 00,Praha 4-Hodkovičky,50.0235,14.4141
CZ,147 00,Braník,50.035,14.4152
CZ,147 00,Praha 4-Braník,50.035,14.4152
CZ,148 00,Kunratice,50.0136,14.4834
CZ,148 00,Chodov,50.0367,14.5044
CZ,148 00,Praha 4-Kunratice,50.0252,14.4939
CZ,148 00,Praha 4-Chodov,50.0252,14.4939
CZ,149 00,Praha 4-Šeberov,50.0369,14.5185
CZ,149 00,Praha 4-Chodov,50.0369,14.5185
CZ,149 00,Háje,50.0361,14.5267
CZ,149 00,Praha 4-Újezd,50.0369,14.5185
CZ,149 00,Praha 10-Hostivař,50.0486,14.5244
CZ,149 00,Hostivař,50.0486,14.5244
CZ,149 00,Praha 4-Háje,50.0369,14.5185
CZ,149 00,Újezd,50.0369,14.5185
CZ,149 00,Chodov,50.0367,14.5044
CZ,149 00,Šeberov,50.0146,14.5126
CZ,150 00,Malá Strana,50.0877,14.4045
CZ,150 00,Praha 5-Motol,50.0699,14.3283
CZ,150 00,Motol,50.0699,14.3283
CZ,150 00,Praha 5-Košíře,50.0671,14.3633
CZ,150 00,Praha 5-Smíchov,50.072,14.4041
CZ,150 00,Smíchov,50.072,14.4041
CZ,150 00,Radlice,50.0604,14.401
CZ,150 00,Košíře,50.0671,14.3633
CZ,150 00,Praha 5-Malá Strana,50.0696,14.3775
CZ,150 00,Praha 5-Radlice,50.0604,14.401
CZ,152 00,Praha 5-Malá Chuchle,50.0368,14.3988
CZ,152 00,Malá Chuchle,50.023,14.3931
CZ,152 00,Hlubočepy,50.0436,14.4016
CZ,152 00,Praha 5-Hlubočepy,50.0436,14.4016
CZ,153 00,Praha 5-Radotín,49.654,14.5931
CZ,153 00,Radotín,49.654,14.5931
CZ,154 00,Holyně,50.0288,14.3553
CZ,154 00,Praha 5-Holyně,50.0288,14.3553
CZ,154 00,Praha 5-Slivenec,50.0201,14.3549
CZ,154 00,Slivenec,50.0193,14.3562
CZ,154 00,Lochkov,50.0035,14.3528
CZ,154 00,Praha 5-Lochkov,50.0201,14.3549
CZ,155 00,Praha 5-Řeporyje,50.0335,14.3068
CZ,155 00,Praha 5-Stodůlky,50.0335,14.3068
CZ,155 00,Třebonice,50.0459,14.2788
CZ,155 00,Zadní Kopanina,50.0062,14.3149
CZ,155 00,Řeporyje,50.0318,14.3167
CZ,155 00,Stodůlky,50.05,14.3167
CZ,155 00,Praha 5-Třebonice,50.0335,14.3068
CZ,155 00,Praha 5-Zadní Kopanina,50.0335,14.3068
CZ,155 21,Praha 5-Sobín,50.0635,14.2789
CZ,155 21,Praha 5-Zličín,50.0635,14.2789
CZ,155 21,Zličín,50.0618,14.2896
CZ,155 21,Sobín,50.0652,14.2681
CZ,155 31,Praha 5-Lipence,49.9587,14.3579
CZ,155 31,Lipence,49.9587,14.3579
CZ,156 00,Praha 5-Zbraslav,48.6333,14.4333
CZ,156 00,Zbraslav,48.6333,14.4333
CZ,158 00,Jinonice,50.0504,14.3784
CZ,158 00,Praha 5-Jinonice,50.0504,14.3784
CZ,159 00,Praha 5-Lahovice,50.0079,14.3923
CZ,159 00,Malá Chuchle,50.023,14.3931
CZ,159 00,Praha 5-Malá Chuchle,50.0079,14.3923
CZ,159 00,Praha 5-Velká Chuchle,50.0079,14.3923
CZ,159 00,Lahovice,49.9888,14.3966
CZ,159 00,Velká Chuchle,50.0118,14.387
CZ,160 00,Bubeneč,50.1092,14.4066
CZ,160 00,Dejvice,50.1008,14.3907
CZ,160 00,Praha 6-Hradčany,50.101,14.3897
CZ,160 00,Sedlec,50.1299,14.3982
CZ,160 00,Praha 6-Dejvice,50.1008,14.3907
CZ,160 00,Praha 6-Vokovice,50.0986,14.3449
CZ,160 00,Vokovice,50.0986,14.3449
CZ,160 00,Praha 5-Smíchov,50.072,14.4041
CZ,160 00,Praha 6-Bubeneč,50.1092,14.4066
CZ,160 00,Smíchov,50.072,14.4041
CZ,160 00,Hradčany,50.0895,14.3976
CZ,160 00,Praha 6-Sedlec,50.1299,14.3982
CZ,161 00,Praha 6-Liboc,50.0903,14.3129
CZ,161 00,Liboc,50.0903,14.3129
CZ,161 00,Praha 6-Ruzyně,50.0903,14.3129
CZ,161 00,Ruzyně,50.0903,14.3129
CZ,162 00,Břevnov,50.0744,14.3831
CZ,162 00,Veleslavín,50.0915,14.3578
CZ,162 00,Praha 6-Liboc,50.0896,14.3728
CZ,162 00,Praha 6-Břevnov,50.0896,14.3728
CZ,162 00,Střešovice,50.0953,14.3827
CZ,162 00,Praha 6-Veleslavín,50.0915,14.3578
CZ,162 00,Praha 6-Střešovice,50.0953,14.3827
CZ,162 00,Liboc,50.0896,14.3728
CZ,163 00,Praha 6-Řepy,50.0706,14.3005
CZ,163 00,Řepy,50.0706,14.3005
CZ,164 00,Přední Kopanina,50.1173,14.2969
CZ,164 00,Nebušice,50.1115,14.3255
CZ,164 00,Praha 6-Nebušice,50.1115,14.3255
CZ,164 00,Praha 6-Přední Kopanina,50.1173,14.2969
