country_code,postal_code,place_name,latitude,longitude
SK,962 52,Cerovo,48.2547,19.1567
SK,962 55,Rykynčice,48.2024,18.9707
SK,962 65,Medovarce,48.2347,19.0025
SK,962 65,Domaníky,48.2627,18.9877
SK,962 65,Ladzany,48.2676,18.9049
SK,962 65,Hontianske Nemce,48.2863,18.9895
SK,962 65,Devičie,48.3084,19.0265
SK,962 65,Kráľovce-Krnišov,48.3567,18.9695
SK,962 66,Sebechleby,48.2754,18.9524
SK,962 68,Terany,48.1797,18.8931
SK,962 68,Drážovce,48.2532,18.9072
SK,962 68,Hontianske Tesáre,48.2041,18.9203
SK,962 71,Dudince,48.1713,18.8878
SK,962 71,Sudince,48.2134,18.8726
SK,962 71,Hontianske Moravce,48.1856,18.8491
SK,962 71,Lišov,48.2269,18.8663
SK,962 71,Súdovce,48.2106,18.8348
SK,963 01,Žibritov,48.3905,18.9839
SK,963 01,Krupina,48.3554,19.0647
SK,980 33,Šurice,48.2336,19.914
SK,984 01,Boľkovce,48.3372,19.77
SK,984 01,Pinciná,48.3595,19.7628
SK,984 01,Mikušovce,48.302,19.6846
SK,984 01,Lučenec,48.3325,19.6671
SK,984 03,Lučenec,48.3325,19.6671
SK,985 11,Ľuboreč,48.3112,19.5187
SK,985 11,Stará Halič,48.3669,19.5717
SK,985 11,Praha,48.3625,19.5088
SK,985 11,Halič,48.3539,19.5763
SK,985 11,Mašková,48.3334,19.5642
SK,985 11,Lehôtka,48.3398,19.5445
SK,985 11,Lupoč,48.3603,19.5408
SK,985 12,Budiná,48.4567,19.4785
SK,985 12,Tuhár,48.4293,19.5054
SK,985 13,Ábelová,48.4116,19.4328
SK,985 13,Lentvora,48.3713,19.4523
SK,985 13,Polichno,48.4048,19.4965
SK,985 22,Točnica,48.4133,19.6423
SK,985 31,Rapovce,48.2739,19.6815
SK,985 31,Pleš,48.2315,19.7494
SK,985 31,Kalonda,48.2596,19.6562
SK,985 31,Trebeľovce,48.2836,19.7143
SK,985 31,Lipovany,48.2167,19.7167
SK,985 31,Mučín,48.2442,19.7025
SK,985 32,Trenč,48.2238,19.5794
SK,985 32,Veľká nad Ipľom,48.2649,19.6189
SK,985 32,Panické Dravce,48.2847,19.6531
SK,985 32,Jelšovec,48.2816,19.6006
SK,985 41,Šávoľ,48.3046,19.8266
SK,985 41,Buzitka,48.3172,19.8039
SK,985 41,Prša,48.3009,19.7913
SK,985 42,Veľké Dravce,48.3464,19.8393
SK,985 42,Nové Hony,48.3667,19.8333
SK,985 52,Divín,48.4499,19.5353
SK,985 52,Ružiná,48.4301,19.5519
SK,985 53,Mýtna,48.4677,19.5525
SK,985 53,Píla,48.4835,19.5036
SK,985 53,Kotmanová,48.4849,19.5804
SK,985 53,Dobroč,48.4748,19.5657
SK,985 54,Lovinobaňa,48.4374,19.5908
SK,985 54,Podrečany,48.4042,19.5986
SK,985 56,Tomášovce,48.3706,19.6214
SK,985 56,Gregorova Vieska,48.385,19.5791
SK,985 57,Holiša,48.3081,19.7517
SK,985 57,Nitra nad Ipľom,48.3182,19.7737
SK,985 58,Radzovce,48.2211,19.8289
SK,985 58,Čakanovce,48.2132,19.8146
SK,985 58,Šiatorská Bukovinka,48.1853,19.8242
SK,985 59,Vidiná,48.3591,19.6543
SK,986 01,Fiľakovo,48.2676,19.8247
SK,986 01,Ratka,48.2473,19.7808
SK,986 01,Fiľakovské Kováče,48.2921,19.7762
SK,986 01,Biskupice,48.2517,19.8333
SK,986 01,Šíd,48.2753,19.8794
SK,986 01,Belina,48.2425,19.8513
SK,986 01,Bulhary,48.2935,19.8481
SK,986 01,Čamovce,48.2504,19.8831
SK,980 12,Hrnčiarske Zalužany,48.4064,19.8715
SK,980 12,Sušany,48.4129,19.8906
SK,980 13,Selce,48.4575,19.8759
SK,980 13,Hrnčiarska Ves,48.4307,19.8565
SK,985 01,Kalinovo,48.3924,19.707
SK,985 01,Veľká Ves,48.3819,19.6751
SK,985 02,Mládzovo,48.4382,19.704
SK,985 02,Breznička,48.4223,19.7358
SK,985 03,Zlatno,48.5185,19.8191
SK,985 03,České Brezovo,48.482,19.8045
SK,985 05,Kokava nad Rimavicou,48.5689,19.8435
SK,985 06,Utekáč,48.605,19.8041
SK,985 07,Ďubákovo,48.5623,19.7355
SK,985 07,Šoltýska,48.5813,19.747
SK,985 22,Cinobaňa,48.4474,19.6527
SK,985 24,Rovňany,48.4492,19.7403
SK,985 24,Uhorské,48.4718,19.749
SK,985 24,Ozdín,48.47,19.6843
SK,985 25,Krná,48.5102,19.7399
SK,985 25,Uhorské,48.4718,19.749
SK,985 26,Málinec,48.498,19.6818
SK,985 42,Ružová Osada,48.3516,19.8647
SK,985 45,Cinobaňa - Žihľava,48.5797,19.6356
SK,987 01,Hájiky - Maky,48.4309,19.7941
SK,987 01,Poltár,48.4309,19.7941
SK,049 01,Muránska Lehota,48.7277,20.0482
SK,049 01,Muráň,48.741,20.0496
SK,049 01,Muránska Huta,48.7779,20.1127
SK,049 01,Predná Hora,48.7488,20.0702
SK,049 13,Hucín,48.5642,20.2967
SK,049 13,Gemerský Sad,48.5829,20.3193
SK,049 14,Šivetice,48.5803,20.2756
SK,049 14,Licince,48.5394,20.2981
SK,049 14,Prihradzany,48.5835,20.2401
SK,049 16,Gemerské Teplice,48.5982,20.2791
SK,049 16,Jelšava,48.6291,20.2414
SK,049 16,Magnezitovce,48.671,20.2311
SK,049 18,Chyžné,48.6629,20.201
SK,049 18,Revúcka Lehota,48.6712,20.181
SK,049 18,Lubeník,48.6549,20.1961
SK,049 18,Turčok,48.6404,20.1479
SK,049 61,Nandraž,48.6077,20.1869
SK,049 61,Rákoš,48.5999,20.1478
SK,049 62,Kameňany,48.5774,20.1916
SK,049 64,Sirk,48.6188,20.0991
SK,050 01,Mokrá Lúka,48.6734,20.1493
SK,050 01,Muránska Zdychava,48.7376,20.1425
SK,050 01,Revúca,48.6835,20.1173
SK,050 01,Muránska Dlhá Lúka,48.7159,20.0802
SK,982 01,Tornaľa,48.4192,20.3257
SK,982 01,Gemer,48.4496,20.3158
SK,982 01,Žiar,48.4385,20.273
SK,982 52,Gregorovce,48.6179,20.1774
SK,982 62,Polina,48.4936,20.2126
SK,982 62,Rašice,48.4714,20.2391
SK,982 62,Otročok,48.45,20.277
SK,982 62,Gemerská Ves,48.4809,20.2752
SK,982 62,Levkuška,48.4576,20.2651
SK,982 62,Višňové,48.5158,20.1879
SK,982 62,Držkovce,48.5419,20.2362
SK,982 62,Chvalová,48.5129,20.177
SK,982 62,Skerešovo,48.5041,20.2017
SK,982 62,Leváre,48.5134,20.2552
SK,982 65,Sása,48.5638,20.1089
SK,982 65,Ratková,48.5914,20.0957
SK,982 65,Rybník,48.5487,20.1245
SK,982 65,Ploské,48.6039,20.0861
SK,982 66,Ratkovské Bystré,48.6462,20.058
SK,982 66,Hrlica,48.6282,20.051
SK,979 01,Rimavská Sobota,48.3828,20.0224
SK,979 01,Kružno,48.4131,19.9315
SK,979 01,Zacharovce,48.405,20.0545
SK,979 01,Rimavská Sobota 1,48.3981,20.0218
SK,979 01,Čerenčany,48.4066,19.9886
SK,980 01,Rimavské Janovce,48.3417,20.0628
SK,980 01,Sútor,48.3528,20.1219
SK,980 01,Pavlovce,48.3262,20.0823
SK,980 01,Belín,48.3416,20.1085
SK,980 02,Gortva,48.2945,20.025
SK,980 02,Širkovce,48.29,20.0864
SK,980 02,Jesenské,48.3064,20.0708
SK,980 02,Hodejovec,48.282,20.0159
SK,980 03,Šimonovce,48.2737,20.1125
SK,980 03,Drňa,48.2627,20.1159
SK,980 04,Hostice,48.2344,20.0662
SK,980 04,Gemerské Dechtáre,48.2477,20.0369
SK,980 04,Jestice,48.219,20.0536
SK,980 11,Ožďany,48.3782,19.8916
SK,980 21,Tomášovce,48.393,20.153
SK,980 21,Vieska nad Blhom,48.3511,20.1988
SK,980 21,Bátka,48.3788,20.17
SK,980 21,Žíp,48.3642,20.2033
SK,980 21,Dulovo,48.3741,20.1914
SK,980 21,Rakytník,48.3916,20.1749
SK,980 22,Veľký Blh,48.4453,20.1165
SK,980 22,Uzovská Panica,48.417,20.1439
SK,980 23,Padarovce,48.4572,20.0701
SK,980 23,Slizké,48.5173,20.0881
SK,980 23,Dražice,48.4372,20.0656
SK,980 23,Španie Pole,48.5202,20.1273
SK,980 23,Lipovec,48.5495,20.0658
SK,980 23,Teplý Vrch,48.4699,20.0999
SK,980 23,Drienčany,48.4813,20.0718
SK,980 23,Hostišovce,48.4976,20.1164
SK,980 23,Budikovany,48.4884,20.0882
SK,980 25,Hrušovo,48.5128,20.0491
SK,980 26,Lukovištia,48.4918,20.0263
SK,980 26,Horné Zahorany,48.4615,20.0085
SK,980 26,Babinec,48.5122,20.0049
SK,980 26,Kraskovo,48.5012,19.99
SK,980 31,Čierny Potok,48.6167,19.85
SK,980 31,Hodejov,48.3012,19.9898
SK,980 31,Gemerček,48.3179,19.9914
SK,980 32,Konrádovce,48.2998,19.9038
SK,980 32,Blhovce,48.2751,19.9538
SK,980 33,Hajnáčka,48.2184,19.9578
SK,980 34,Nová Bašta,48.1709,19.9443
SK,980 34,Večelkov,48.163,19.9346
SK,980 34,Tachty,48.1549,19.9408
SK,980 34,Studená,48.1598,19.9596
SK,980 34,Stará Bašta,48.181,19.9446
SK,980 35,Gemerský Jablonec,48.1945,19.9761
SK,980 35,Petrovce,48.1854,20.0205
SK,980 35,Dubno,48.192,20.0017
SK,980 41,Bottovo,48.3127,20.1501
SK,980 41,Martinová,48.298,20.1729
SK,980 41,Dubovec,48.293,20.1541
SK,980 42,Janice,48.2802,20.2144
SK,980 42,Rimavská Seč,48.3051,20.2349
SK,980 42,Orávka,48.3038,20.1954
SK,980 42,Cakov,48.339,20.2248
SK,980 42,Ivanice,48.3292,20.2366
SK,980 42,Radnovce,48.3423,20.2056
SK,980 42,Zádor,48.3212,20.2421
SK,980 42,Chrámec,48.2788,20.1854
SK,980 43,Číž,48.3137,20.2804
SK,980 44,Chanava,48.3361,20.2993
SK,980 44,Vlkyňa,48.2821,20.301
SK,980 44,Abovce,48.3187,20.3365
SK,980 44,Lenartovce,48.2979,20.3101
SK,980 45,Štrkovec,48.3583,20.3249
SK,980 45,Riečka,48.3398,20.3306
SK,980 45,Kesovce,48.3752,20.3529
